Date,Capital Value,Fund Code,Fund Type
2013-01-31,105.5730817715476,070002,Mutual Fund
2013-01-31,105.38135898112664,110011,Mutual Fund
2013-01-31,105.12113366338451,161005,Mutual Fund
2013-01-31,105.30241304754327,163402,Mutual Fund
2013-01-31,103.28201324552899,202002,Mutual Fund
2013-01-31,104.26932720157723,260116,Mutual Fund
2013-01-31,102.24914758852593,270006,Mutual Fund
2013-01-31,105.49396692151613,377010,Mutual Fund
2013-01-31,104.55282270955266,040001,Strategy Fund
2013-01-31,106.07091187629145,050001,Strategy Fund
2013-01-31,106.83564808568265,070002,Strategy Fund
2013-01-31,107.16182633444826,110011,Strategy Fund
2013-01-31,105.10319566032133,161005,Strategy Fund
2013-01-31,107.61437286840658,163402,Strategy Fund
2013-01-31,106.43690113253041,202002,Strategy Fund
2013-01-31,107.51736803912577,260116,Strategy Fund
2013-01-31,104.77876295514277,270006,Strategy Fund
2013-01-31,108.21329677144892,377010,Strategy Fund
2013-01-31,108.79157516769395,519008,Strategy Fund
2013-02-01,106.24086646031235,Shanghai Composite,Index
2013-02-01,102.0323648137929,040001,Mutual Fund
2013-02-01,104.05080154085225,050001,Mutual Fund
2013-02-01,107.01943299181782,070002,Mutual Fund
2013-02-01,106.87777427865863,110011,Mutual Fund
2013-02-01,106.27746613368171,161005,Mutual Fund
2013-02-01,106.94513069108493,163402,Mutual Fund
2013-02-01,104.69697682699275,202002,Mutual Fund
2013-02-01,105.31202047359298,260116,Mutual Fund
2013-02-01,102.92399196261019,270006,Mutual Fund
2013-02-01,106.38011624365686,377010,Mutual Fund
2013-02-01,105.08659287359761,040001,Strategy Fund
2013-02-01,108.6135955668746,050001,Strategy Fund
2013-02-01,108.03418712826442,070002,Strategy Fund
2013-02-01,108.38588992704071,110011,Strategy Fund
2013-02-01,106.14870692230333,161005,Strategy Fund
2013-02-01,109.77626748551883,163402,Strategy Fund
2013-02-01,108.56621459661142,202002,Strategy Fund
2013-02-01,108.60049142995605,260116,Strategy Fund
2013-02-01,105.8419050818873,270006,Strategy Fund
2013-02-01,109.13756895023323,377010,Strategy Fund
2013-02-01,110.25970947653451,519008,Strategy Fund
2013-02-04,106.64458175286154,Shanghai Composite,Index
2013-02-04,101.69565800990739,040001,Mutual Fund
2013-02-04,103.91553549884914,050001,Mutual Fund
2013-02-04,105.90643088870293,070002,Mutual Fund
2013-02-04,106.18306874584735,110011,Mutual Fund
2013-02-04,105.9161227488272,161005,Mutual Fund
2013-02-04,106.51735016832058,163402,Mutual Fund
2013-02-04,103.59765857030933,202002,Mutual Fund
2013-02-04,104.52218032004103,260116,Mutual Fund
2013-02-04,101.11252970406828,270006,Mutual Fund
2013-02-04,105.49716127883453,377010,Mutual Fund
2013-02-04,105.57866584790378,040001,Strategy Fund
2013-02-04,108.75660812104242,050001,Strategy Fund
2013-02-04,107.60891510056787,070002,Strategy Fund
2013-02-04,107.54037934170945,110011,Strategy Fund
2013-02-04,105.31795132018394,161005,Strategy Fund
2013-02-04,109.33426391169834,163402,Strategy Fund
2013-02-04,108.17386359165656,202002,Strategy Fund
2013-02-04,108.16687895978293,260116,Strategy Fund
2013-02-04,105.0089461636185,270006,Strategy Fund
2013-02-04,108.31168736164088,377010,Strategy Fund
2013-02-04,109.13335557440521,519008,Strategy Fund
2013-02-05,106.86853537454255,Shanghai Composite,Index
2013-02-05,103.21092331425498,040001,Mutual Fund
2013-02-05,104.86116687188867,050001,Mutual Fund
2013-02-05,107.0925829146564,070002,Mutual Fund
2013-02-05,107.97756260765216,110011,Mutual Fund
2013-02-05,107.58959748825869,161005,Mutual Fund
2013-02-05,107.47600631983548,163402,Mutual Fund
2013-02-05,105.09982461957881,202002,Mutual Fund
2013-02-05,106.79031163298593,260116,Mutual Fund
2013-02-05,103.11455779220884,270006,Mutual Fund
2013-02-05,105.79255333041525,377010,Mutual Fund
2013-02-05,107.55526450382851,040001,Strategy Fund
2013-02-05,109.88022635026881,050001,Strategy Fund
